Pression: 367  Nb0: 1000  Amp: 337 | Purge: N | Pompe: N
Pression: 390  Nb0: 1000  Amp: 353 | Purge: N | Pompe: N
Pression: 377  Nb0: 1000  Amp: 337 | Purge: N | Pompe: N
Pression: 180  Nb0: 501  Amp: 295 | Purge: N | Pompe: N
Pression: 126  Nb0: 535  Amp: 302 | Purge: N | Pompe: N
Pression: 108  Nb0: 1000  Amp: 284 | Purge: N | Pompe: N
Pression: 86  Nb0: 1000  Amp: 285 | Purge: N | Pompe: N
Pression: 99  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 53  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 70  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 40  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 60  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 83  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 50  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 58  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 64  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 83  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 40  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 58  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 80  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 33  Nb0: 1000  Amp: 310 | Purge: N | Pompe: N
Pression: 59  Nb0: 1000  Amp: 311 | Purge: N | Pompe: N
Pression: 77  Nb0: 1000  Amp: 288 | Purge: N | Pompe: N
Pression: 84  Nb0: 83  Amp: 314 | Purge: N | Pompe: N
Condition pour déclencher valve purge <100[DEBUG] P:52 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 61
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:68 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 52
Condition pour déclencher valve purge <100[DEBUG] P:86 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 68
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:78 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 86
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:64 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 78
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:50 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 64
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:65 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 50
Condition pour déclencher valve purge <100[DEBUG] P:82 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 65
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:98 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 82
Condition pour déclencher valve purge <100[DEBUG] P:85 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 98
Condition pour déclencher valve purge <100[DEBUG] P:78 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 85
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:68 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 78
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:50 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 68
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:63 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 50
Condition pour déclencher valve purge <100[DEBUG] P:80 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 63
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:98 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 80
Condition pour déclencher valve purge <100[DEBUG] P:87 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 98
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:75 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 87
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:51 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 75
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:63 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 51
Condition pour déclencher valve purge <100[DEBUG] P:77 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 63
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:98 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 77
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:88 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 98
Condition pour déclencher valve purge <100[DEBUG] P:78 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 88
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:71 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 78
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:52 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 71
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:62 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 52
Condition pour déclencher valve purge <100[DEBUG] P:74 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 62
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:95 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 74
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:78 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 95
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:71 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 78
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:53 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 71
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:60 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 53
Condition pour déclencher valve purge <100[DEBUG] P:73 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 60
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:94 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 73
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:79 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 94
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:73 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 79
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:55 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 73
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:71 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 55
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:87 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 71
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:95 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 87
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:79 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 95
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:73 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 79
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:59 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 73
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:70 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 59
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:90 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 70
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:97 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 90
Condition pour déclencher valve purge <100[DEBUG] P:80 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 97
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:74 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 80
Condition pour déclencher valve purge <100[DEBUG] P:61 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 74
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:55 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 61
Condition pour déclencher valve purge <100[DEBUG] P:68 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 55
Condition pour déclencher valve purge <100[DEBUG] P:85 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 68
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:79 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 85
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:73 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 79
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:65 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 73
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:55 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 65
Condition pour déclencher valve purge <100[DEBUG] P:66 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 55
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:83 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 66
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:99 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 83
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:83 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 99
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:77 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 83
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:70 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 77
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:51 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 70
Condition pour déclencher valve purge <100[DEBUG] P:63 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 51
Condition pour déclencher valve purge <100[DEBUG] P:81 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 63
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:99 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 81
Condition pour déclencher valve purge <100[DEBUG] P:89 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 99
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:76 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 89
Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100Condition pour déclencher valve purge <100[DEBUG] P:69 D:83 demandePurge:N purgeActive:N | Relais purge (D7): 0 | Relais pompe (D8): 0 | lastPressionDebitZero: 76
